title,company,description,link,listedOn,email,phone,city,region,salary,runDate
Manager Urban Services and Facilities,LG Services Group,Explore the great outdoors while advancing your career,https://www.seek.co.nz/job/75725108?type=standout&ref=search-standalone&origin=cardTitle#sol=d61d00c0fda3732b1c41fca25aac18160cdf24ef,,helen@lgsg.au,,Christchurch Central,Canterbury,$80000 - $100000 + benefits,2024-05-09
Clinic Operations Specialist - Beckford & Waltham,Tend,Join Tend as we grow in Christchurch & transform GP primary care!,https://www.seek.co.nz/job/75720036?type=standout&ref=search-standalone&origin=cardTitle#sol=fd9a69871d44336a8c673b5ab50ec728ab08e037,,brendan.mcilraith@tend.nz,,Christchurch Central,Canterbury,$120K - $130K,2024-05-09
Digital & Instructional Designer – Programme Development,Te Wananga o Aotearoa,Do you thrive in a dynamic environment where you can contribute your digital design expertise to shape the future of education?,https://www.seek.co.nz/job/75712105?type=standout&ref=search-standalone&origin=cardTitle#sol=293f5846908dc9ccde93732a0552e030da5a4616,,jobs@twoa.ac.nz,,Christchurch Central,Canterbury,,2024-05-09
Business Development Manager,Kin,Join us in this vital role as we grow our team! Seek out & build relationships with new clients as we grow our business in Palmerston North,https://www.seek.co.nz/job/75724981?type=standout&ref=search-standalone&origin=cardTitle#sol=71dc3f8ad31440edcec2013e9fbce81510e6f678,,tracey.fletcher@kin.co.nz,,Christchurch Central,Canterbury,,2024-05-09
Construction Manager,Lynx Recruitment Ltd,We are seeking a highly experienced Construction Manager with a minimum of 5 years in the construction industry to join the team.,https://www.seek.co.nz/job/75718539?type=standout&ref=search-standalone&origin=cardTitle#sol=6186738ca35b6e46530f3e8cee098d670c024e3b,,cam@lynx.co.nz,,Christchurch Central,Canterbury,,2024-05-09
"Principal Advisor, Assurance",Whaikaha - Ministry of Disabled People,"Support the development, implementation and maintenance of our core assurance frameworks and tools.",https://www.seek.co.nz/job/75720272?type=promoted&ref=search-standalone&origin=cardTitle#sol=84e6ce505a5ff27f5b8d02516f4be2ba0d5421b9,,PeopleandCulture@whaikaha.govt.nz,,Wellington Central,Wellington,"$117,419 – $174,069 per year",2024-05-09
Clinic Operations Specialist - High Street City Health,Tend,Exciting times ahead with this role within a well established clinic into the next phase of Health Care with the integration of TEND.,https://www.seek.co.nz/job/75727109?type=standout&ref=search-standalone&origin=cardTitle#sol=87f82783dca781fbec1fb8e146d49e06b84a0fac,,brendan.mcilraith@tend.nz,,Wellington Central,Wellington,Relocation Support + Additional KiwiSaver,2024-05-09
Special Education Advisor,Ministry of Education,"As a SEA, you will work closely with families, whānau, caregivers, schools and ECE's in English and Māori medium settings.",https://www.seek.co.nz/job/75714369?type=standout&ref=search-standalone&origin=cardTitle#sol=eae2de81cbbba39862386c56ab1712cf66796624,,HR.Waikato@education.govt.nz,,Wellington Central,Wellington,,2024-05-09
Account Executive,Aon New Zealand,As an Account Executive you will have the opportunity to lead and collaborate with an experienced team of Brokers and Account professionals.,https://www.seek.co.nz/job/75721514?type=standout&ref=search-standalone&origin=cardTitle#sol=360e1592876b443cdb42dd34f313249fb976b4cd,,ReasonableAdjustments@Aon.com,,Wellington Central,Wellington,,2024-05-09
Data Analysts,Digital Garage,Fantastic opportunity to play an instrumental role in this organisation's upcoming projects!,https://www.seek.co.nz/job/75714237?type=standout&ref=search-standalone&origin=cardTitle#sol=2528973a4fc35056569eba21dc1a21a8b2cc7622,,kate@digitalgarage.co.nz,0210246928,Auckland CBD,Auckland,Competitive salary plus medical and life insurance,2024-05-09
Clinical Pyschologist,APM Workcare,Looking move to Tauranga or a new opportunity in 2024? Come join us!,https://www.seek.co.nz/job/75717338?type=standout&ref=search-standalone&origin=cardTitle#sol=536cd3a62cb8ae6fae4a4a33080052461b8638dc,,luke.serfontein@apmworkcare.co.nz,022 416 2263,Auckland CBD,Auckland,$120K - $130K,2024-05-09
Senior Network and Asset Analyst,Powerco,We are looking for a passionate and commercial astute analyst to join our Asset Strategy team and help shape the future of our gas business.,https://www.seek.co.nz/job/75712391?type=standout&ref=search-standalone&origin=cardTitle#sol=00c00565640e897f790650e67b7191920b65830b,,kiaora@powerco.co.nz,,Auckland CBD,Auckland,"$70,000 – $100,000 per year",2024-05-09
Site Manager,Franklin Smith,High-end Residential company looking for an experienced Site Manager to run a $5mil build. An opportunity with genuine progression into a PM/Ops role.,https://www.seek.co.nz/job/75723468?type=standard&ref=search-standalone&origin=cardTitle#sol=db52e0af23aaabfa0f730e17c0be0068cd77f450,,tom@franklinsmithgroup.co.nz,,Auckland CBD,Auckland,Competitive salary + benefits + mob + laptop,2024-05-09
Public Health Senior Planning & Performance Advisor - Northern - NPHS,Te Whatu Ora - National Office,"We have an available opportunity to join the Northern Region, Planning, Policy and Performance team as a Senior Planning and Performance Advisor.",https://www.seek.co.nz/job/75713991?type=standout&ref=search-standalone&origin=cardTitle#sol=ecd8cc3fc587123495034ab13d49b05db4ecf91b,,careers@tewhatuora.govt.nz,,Auckland CBD,Auckland,,2024-05-09
Project Delivery Manager,Kaipara District Council,"Lead a portfolio of projects and initiatives, align plans with strategy, optimise resources, and implement innovative systems for service enhancement.",https://www.seek.co.nz/job/75711690?type=standout&ref=search-standalone&origin=cardTitle#sol=d2b6b1de957e902d50a79cb10686d4d916f440f2,,careers@kaipara.govt.nz,,Auckland CBD,Auckland,,2024-05-09
Scheduling and Dispatch Lead,Tribe (New Zealand) Limited,Looking to speak to exceptional transport/scheduling professionals looking to take the reins in this fundamental role within the wider operation,https://www.seek.co.nz/job/75719288?type=standout&ref=search-standalone&origin=cardTitle#sol=bbe570b60d87701fbb3754b3fa82448c550431c1,,,0272964379,Auckland CBD,Auckland,,2024-05-09
Project Manager,Stellar Recruitment,"Lead, manage, and oversee various projects as a Project Manager for leading construction company.",https://www.seek.co.nz/job/75719607?type=standout&ref=search-standalone&origin=cardTitle#sol=4981351934a519be49c49e4f05578679de648291,,,0212436455,Auckland CBD,Auckland,,2024-05-09
Emergency Management and Business Continuity Advisor,Wellington Water Limited,You will build capability through knowledge sharing and build the Regulatory Services Directorate and Risk and Assurance team credibility .,https://www.seek.co.nz/job/75718950?type=standout&ref=search-standalone&origin=cardTitle#sol=a5303fc1a01ab5a81cf0305c274ebc659ee44609,,JoinUs@wellingtonwater.co.nz,,Auckland CBD,Auckland,,2024-05-09
"Principal Advisor Workflow & Operations, Sector Digital Channels, Data & Digital",Te Whatu Ora - National Office,"In this role, you will champion digital assisted channels, integrating them into Health New Zealand's tech world, making sure they're user-friendly.",https://www.seek.co.nz/job/75722361?type=standout&ref=search-standalone&origin=cardTitle#sol=23b00818251abb38c140eb0713f73426b0d6cdd8,,careers@health.govt.nz,,Auckland CBD,Auckland,,2024-05-09
Marketing Specialist,Archway Recruitment,"Lead national marketing initiatives. Highly regarded employer within the construction and maintenance industry. Lower Hutt, car parking onsite.",https://www.seek.co.nz/job/75726217?type=standout&ref=search-standalone&origin=cardTitle#sol=6e0e18e038fda3902cd5d2a81783bd0bcc4414f6,,tracey@archwayrecruitment.com,021 022 3203,Auckland CBD,Auckland,,2024-05-09
Systems Accountant,Earthquake Commission,The Earthquake Commission - Toka Tū Ake Permanent role Based in Whanganui a Tara (Wellington) A hybrid working opportunity Professional development su,https://www.seek.co.nz/job/75713443?type=standout&ref=search-standalone&origin=cardTitle#sol=6fe269ecfd140eaf6fcb9fc38992db5865cbe2c1,,recruitment@eqc.govt.nz,,Queenstown,Otago,$120K - $130K,2024-05-09
Support and Information Coordinator - Te Waka Hau Ora,Cancer Society (Wellington Division),This is your opportunity to connect with your community and provide vital support to people going through their cancer journey.,https://www.seek.co.nz/job/75711620?type=standout&ref=search-standalone&origin=cardTitle#sol=52a3351f765a5ad858c34b84d2440b52a213d1cf,,nicolam@cancersoc.org.nz,,Queenstown,Otago,NZD 120000 - 140000 per annum,2024-05-09
IT Strategy Team Lead,Absolute IT Limited,Take ownership of the IT Strategy delivery and define the ICT modernisation for a meaningful Kiwi business in Auckland,https://www.seek.co.nz/job/75723496?type=standout&ref=search-standalone&origin=cardTitle#sol=1fdc13696f0591add64911d2d454517724deb6cf,,Diana.Dolensky@absoluteit.co.nz,,Queenstown,Otago,Excellent salary provided,2024-05-09
"Principal Advisor, Assurance",Whaikaha - Ministry of Disabled People,"Support the development, implementation and maintenance of our core assurance frameworks and tools.",https://www.seek.co.nz/job/75720272?type=standout&ref=search-standalone&origin=cardTitle#sol=ed13dc09c778a332e62ce140b4c35b31e3544e1a,,PeopleandCulture@whaikaha.govt.nz,,Queenstown,Otago,"$70,000 – $100,000 per year",2024-05-09
Data Analysts,Digital Garage,Fantastic opportunity to play an instrumental role in this organisation's upcoming projects!,https://www.seek.co.nz/job/75714237?type=standout&ref=search-standalone&origin=cardTitle#sol=bb17ed829a2b6359a8d5fc365c9328d0d6767dfe,,kate@digitalgarage.co.nz,0210246928,Queenstown,Otago,Permanent Full-Time position,2024-05-09
Clinical Pyschologist,APM Workcare,Looking move to Tauranga or a new opportunity in 2024? Come join us!,https://www.seek.co.nz/job/75717338?type=standout&ref=search-standalone&origin=cardTitle#sol=eb7df2e62a03d276fc286a1df12b07c72298ee4e,,luke.serfontein@apmworkcare.co.nz,022 416 2263,Queenstown,Otago,Competitive salary + benefits + mob + laptop,2024-05-09
Senior Network and Asset Analyst,Powerco,We are looking for a passionate and commercial astute analyst to join our Asset Strategy team and help shape the future of our gas business.,https://www.seek.co.nz/job/75712391?type=standout&ref=search-standalone&origin=cardTitle#sol=00499ce533540c86f6ca14b0f9df9667b7ee5c14,,kiaora@powerco.co.nz,,Queenstown,Otago,,2024-05-09
Site Manager,Franklin Smith,High-end Residential company looking for an experienced Site Manager to run a $5mil build. An opportunity with genuine progression into a PM/Ops role.,https://www.seek.co.nz/job/75723468?type=standard&ref=search-standalone&origin=cardTitle#sol=71ec9f35f65b31a29b8c75f7b9bc5b5bc1116693,,tom@franklinsmithgroup.co.nz,,Queenstown,Otago,,2024-05-09
Public Health Senior Planning & Performance Advisor - Northern - NPHS,Te Whatu Ora - National Office,"We have an available opportunity to join the Northern Region, Planning, Policy and Performance team as a Senior Planning and Performance Advisor.",https://www.seek.co.nz/job/75713991?type=standout&ref=search-standalone&origin=cardTitle#sol=5096a81647da566f219d1664cd64593c0be4d7ec,,careers@tewhatuora.govt.nz,,Queenstown,Otago,,2024-05-09
Project Delivery Manager,Kaipara District Council,"Lead a portfolio of projects and initiatives, align plans with strategy, optimise resources, and implement innovative systems for service enhancement.",https://www.seek.co.nz/job/75711690?type=standout&ref=search-standalone&origin=cardTitle#sol=ff26dfc99cabd060d370ff1dfd3752f1fdb1824e,,careers@kaipara.govt.nz,,Queenstown,Otago,,2024-05-09
Scheduling and Dispatch Lead,Tribe (New Zealand) Limited,Looking to speak to exceptional transport/scheduling professionals looking to take the reins in this fundamental role within the wider operation,https://www.seek.co.nz/job/75719288?type=standout&ref=search-standalone&origin=cardTitle#sol=c4ba196c5c62ab5e0fb14de5398960f13b20edb5,,,0272964379,Auckland,New Plymouth Central,"NZD 120000 - 130000 per annum, Bonus + Flexible",2024-05-09
Project Manager,Stellar Recruitment,"Lead, manage, and oversee various projects as a Project Manager for leading construction company.",https://www.seek.co.nz/job/75719607?type=standout&ref=search-standalone&origin=cardTitle#sol=3e1c5d90ead04aaae63f0efad2c75304e8a722de,,,0212436455,Auckland,New Plymouth Central,"$92,341 - $106,933 (including 4% superannuation)",2024-05-09
Emergency Management and Business Continuity Advisor,Wellington Water Limited,You will build capability through knowledge sharing and build the Regulatory Services Directorate and Risk and Assurance team credibility .,https://www.seek.co.nz/job/75718950?type=standout&ref=search-standalone&origin=cardTitle#sol=4b90e5b1f9df786c0263b127dbda04d223ae683f,,JoinUs@wellingtonwater.co.nz,,Auckland,New Plymouth Central,$32 – $45 per hour,2024-05-09
"Principal Advisor Workflow & Operations, Sector Digital Channels, Data & Digital",Te Whatu Ora - National Office,"In this role, you will champion digital assisted channels, integrating them into Health New Zealand's tech world, making sure they're user-friendly.",https://www.seek.co.nz/job/75722361?type=standout&ref=search-standalone&origin=cardTitle#sol=624d87136ac675d2e7158a508641677f5d0cb8c1,,careers@health.govt.nz,,Auckland,New Plymouth Central,,2024-05-09
Marketing Specialist,Archway Recruitment,"Lead national marketing initiatives. Highly regarded employer within the construction and maintenance industry. Lower Hutt, car parking onsite.",https://www.seek.co.nz/job/75726217?type=standout&ref=search-standalone&origin=cardTitle#sol=e111ad38e0303cb9eb27079fc094780baf612a92,,tracey@archwayrecruitment.com,021 022 3203,Auckland,New Plymouth Central,,2024-05-09
Electrical Design Estimator,AWF,Gain exposure to cutting-edge projects as you design the future of Energy in NZ!,https://www.seek.co.nz/job/75713731?type=standout&ref=search-standalone&origin=cardTitle#sol=b79c895b6f49a2df6e54ef450c1b735329560579,,zainab.ali@awf.co.nz,027 577 3172,Auckland,New Plymouth Central,,2024-05-09
"Trusts & Private Client Lawyer | 2+ years PQE",CoLegal,"Working in a highly regarded team, you'll have access to strong mentorship and with plenty of client interaction.",https://www.seek.co.nz/job/75721629?type=standout&ref=search-standalone&origin=cardTitle#sol=496ecf6e4ef7d83d4eb0100a8e2adb031f4aa4f4,,anand@colegal.co.nz,,Auckland,New Plymouth Central,,2024-05-09
"Principal Advisor Self Service Channels, Data and Digital",Te Whatu Ora - National Office,The Principal Advisor - Self Service Channels is a role that will bring together our strategies for consumer digital health interfaces.,https://www.seek.co.nz/job/75720852?type=standout&ref=search-standalone&origin=cardTitle#sol=712407afba35abe3d2b29843fd9ebd7c3f3cfea0,,careers@health.govt.nz,,Auckland,New Plymouth Central,,2024-05-09
Senior Business Analyst,Parker Bridge,"Excellent mentorship, growing team and new product journey.",https://www.seek.co.nz/job/75711926?type=standout&ref=search-standalone&origin=cardTitle#sol=003eb024551bd6f48bf8aa37435478aa162fc40d,,,0223645005,Auckland,New Plymouth Central,,2024-05-09
Recruitment Consultant - Construction & Civil,Heights Recruitment,We have a ripper of an opportunity for a networking legend to join our Christchurch team who are going from strength to strength in the current market,https://www.seek.co.nz/job/75721713?type=standout&ref=search-standalone&origin=cardTitle#sol=db0ca6eb536454f52758846c4a99f4245c54e467,,Cody@heights.nz,0277390274,Auckland,New Plymouth Central,,2024-05-09
Project Manager - Infrastructure,Assemble,This nationwide consultancy holds a strong position as a major player in the construction industry!,https://www.seek.co.nz/job/75713404?type=standout&ref=search-standalone&origin=cardTitle#sol=b3cf952e441426bb649b3a81e7cddbb90a7076f0,,sam@assemblerecruit.com,027 274 5586,Auckland,New Plymouth Central,,2024-05-09
"Principal Advisor Assisted Technology, Sector Digital Channels, Data & Digital",Te Whatu Ora - National Office,"As our Principal Advisor, you will be responsible for creating positive outcomes for people through the development of digital assisted channels.",https://www.seek.co.nz/job/75721449?type=standout&ref=search-standalone&origin=cardTitle#sol=cbaf749388582d40cef01d0a235ca1ea7bf38c7f,,careers@health.govt.nz,,New Plymouth Central,Taranaki,"Up to $118,158 per annum.",2024-05-09
"Principal Advisor, Risk and Assurance",Whaikaha - Ministry of Disabled People,Lead the implementation of the Risk Management Framework across the Ministry,https://www.seek.co.nz/job/75720068?type=standout&ref=search-standalone&origin=cardTitle#sol=99b4a94b52e9a067a5f6eeb0c3c3777726b9aa5f,,PeopleandCulture@whaikaha.govt.nz,,New Plymouth Central,Taranaki,Very competitive salary,2024-05-09
Network Architect/Consultant - Join a growing Kiwi MSP,H2R Technology Limited,Fantastic opportunity for an experienced Network Architect/Consultant to join to progressive NZ MSP,https://www.seek.co.nz/job/75720873?type=standout&ref=search-standalone&origin=cardTitle#sol=1342eb6003214856de5dfcabed1a54ca5bc15434,,sharyn.saxby@h2r.co.nz,,New Plymouth Central,Taranaki,,2024-05-09
"Business Analyst | Kaitātari Mahi",Parliamentary Service,"Experienced business focused BA, contribute to all phases of project implementation.",https://www.seek.co.nz/job/75711911?type=standout&ref=search-standalone&origin=cardTitle#sol=a0a80488c1ea9f55c4f7ce75d007993f25a33a9f,,renee.beeson@parliament.govt.nz,,New Plymouth Central,Taranaki,,2024-05-09
Solicitor - Employment,Artemis Executive Recruitment,An exceptional opportunity if you want to be in the thick of the action. Create the future you desire! Fulltime & WFH options. Christchurch location.,https://www.seek.co.nz/job/75711641?type=standout&ref=search-standalone&origin=cardTitle#sol=2b34a1db916454b63c6b0a6dcdf82ab1c0c381fe,,kathryn.cross@artemisnz.com,027 700 8049,New Plymouth Central,Taranaki,,2024-05-09
SouthPAN Engineer - Aviation or Navigation focus,Land Information New Zealand,Iimproving the accuracy and reliability of satellite-based positioning systems in New Zealand and Australia,https://www.seek.co.nz/job/75714081?type=standout&ref=search-standalone&origin=cardTitle#sol=0c53469e23d4ecb33a71ea542223fe824a842deb,,opportunities@linz.govt.nz,,New Plymouth Central,Taranaki,,2024-05-09
"MANA AKE KAIMAHI Social Worker, Teaching/Allied Professionals 0.8 FTE - 32 HPW",Hornby Presbyterian Community Trust (Te Whare Awhero),This role is focused on promoting and fostering improved well-being for our children and whānau in Canterbury.,https://www.seek.co.nz/job/75713146?type=standard&ref=search-standalone&origin=cardTitle#sol=bcf9e013a5312e87a598f3120e8978194ae77bff,,admin@hpct.org.nz,,New Plymouth Central,Taranaki,,2024-05-09
"Principal Advisor, Assurance",Whaikaha - Ministry of Disabled People,"Support the development, implementation and maintenance of our core assurance frameworks and tools.",https://www.seek.co.nz/job/75720272?type=promoted&ref=search-standalone&origin=cardTitle#sol=e6a7bfd9bc7321960f2e9a539ca537bc95a9dee7,,PeopleandCulture@whaikaha.govt.nz,,Auckland CBD,Auckland,Competitive salary plus medical and life insurance,2024-05-09
Senior Project Manager (Renewable Gas),Powerco,This just might be the opportunity you are looking for - roll up your sleeves and get stuck into New Zealand’s burgeoning renewable gas sector!,https://www.seek.co.nz/job/75712658?type=standout&ref=search-standalone&origin=cardTitle#sol=1c576308a00dd58e2509964b81f4ddef8d1ffa1a,,kiaora@powerco.co.nz,,Auckland CBD,Auckland,Competitive salary plus medical and life insurance,2024-05-09
Cloud Developer,Crew Technology Recruitment,Design & develop a data driven platform using modern cloud architecture. Collaborate on brand new products for international markets.,https://www.seek.co.nz/job/75713795?type=standout&ref=search-standalone&origin=cardTitle#sol=3819b2e98e2a904bbe91cfbbfb52621f11506386,,hein@crewconsulting.co.nz,,Auckland CBD,Auckland,"$90,000 – $110,000 per year",2024-05-09
Primary Care Social Worker,Pinnacle Incorporated,We are seeking a passionate and holistic superstar to join our primary care team.,https://www.seek.co.nz/job/75713917?type=standout&ref=search-standalone&origin=cardTitle#sol=5edc290aab921e6d6699704ba12e3b7aabb00890,,tracy.fergus@pinnacle.health.nz,,Auckland CBD,Auckland,Great Remuneration & Career Progression,2024-05-09
Senior Project Manager (Renewable Gas),Powerco,This just might be the opportunity you are looking for - roll up your sleeves and get stuck into New Zealand’s burgeoning renewable gas sector!,https://www.seek.co.nz/job/75712618?type=standout&ref=search-standalone&origin=cardTitle#sol=cb0364bcb5a8cc8c1dca7ebb50743f9254def655,,kiaora@powerco.co.nz,,Auckland CBD,Auckland,"$100,000 to $120,000",2024-05-09
Civil Operators - Pukekohe and Pokeno,Grada Recruitment,"Looking for multiple civil operators, immediate starts with ongoing work right through winter at competitive rates!",https://www.seek.co.nz/job/75726157?type=standout&ref=search-standalone&origin=cardTitle#sol=e8f70bd6c5cf4c4c751cbd4bcc0207030a45e215,,juliano@alhltd.co.nz,,Auckland CBD,Auckland,,2024-05-09
Intermediate Structural Engineer,Echelon Group,Join this well established multidisciplinary consultancy as their next superstar Intermediate Structural Engineer.,https://www.seek.co.nz/job/75723676?type=standout&ref=search-standalone&origin=cardTitle#sol=76f0fc427e25ae3dc7e477ae44647e8969498b22,,emoore@gradarecruitment.com,021 044 4880,Auckland CBD,Auckland,,2024-05-09
Refrigeration Systems Engineer - R&D,Fulton Hogan,Join an innovative R&D department - Rare opportunity for Refrigeration Systems Engineer to utilize their unique skill set in HVAC industry.,https://www.seek.co.nz/job/75713603?type=standout&ref=search-standalone&origin=cardTitle#sol=6ed4cb75c40886c5e5b47c94e686ce67869f7df6,,amanda@kingsrecruitment.co.nz,,Auckland CBD,Auckland,,2024-05-09
General Practice Nurse – Locum Roles,Automotive Employment (NZ) Ltd,Locum Practice Nurses needed across Auckland,https://www.seek.co.nz/job/75713631?type=standout&ref=search-standalone&origin=cardTitle#sol=46bf810b7cf87ce021a90b8db2d7ce788680292f,,muriel.shringi@procare.co.nz,,Auckland CBD,Auckland,,2024-05-09
Water Reticulation Supervisor,,Another exciting opportunity to join a highly progressive market leader and work with some of the best people and technology in the industry!,https://www.seek.co.nz/job/75713511?type=standout&ref=search-standalone&origin=cardTitle#sol=d35cbe9452689a9670faea4566abb27855f786b3,,Muzzammil.kuddus@skoutsolutions.com,,Auckland CBD,Auckland,,2024-05-09
Senior Advisor Risk Reduction and Resilience,Earthquake Commission,The Earthquake Commission - Toka Tū Ake Permanent role Based in Whanganui a Tara (Wellington) A hybrid working opportunity Professional development su,https://www.seek.co.nz/job/75713594?type=promoted&ref=search-standalone&origin=cardTitle#sol=4dfd946ba0d08acc5fced9a153ed0b5786e19450,,recruitment@eqc.govt.nz,,Wellington Central,Wellington,"$84,484 - $113,465",2024-05-09
Senior Accountant Regulatory,Department of Internal Affairs,We're looking for an experienced Accountant to join the Regulatory group at Charities Services Ngā Ratonga Kaupapa Atawhai,https://www.seek.co.nz/job/75721916?type=promoted&ref=search-standalone&origin=cardTitle#sol=0cf9a7b95350cf26bde1d38c17739b8295c5794b,,Penelope.Cox@dia.govt.nz,,Wellington Central,Wellington,Great company with generous benefits!,2024-05-09
Full time Pharmacist Manager,Community Pharmacy,"Full time pharmacist manager, running a patient focused retail pharmacy attached to a medical centre",https://www.seek.co.nz/job/75717315?type=standout&ref=search-standalone&origin=cardTitle#sol=54db11e3f12351c4bd17d4b61b85a11aae68a122,,theo.hudson@community-pharmacy.co.nz,,Wellington Central,Wellington,"$110,090 - $129,517",2024-05-09
GP and NP,ProCare,"These are newly created positions, so the practice can continue to support our enrolled community. Great process already in place. Come join us!",https://www.seek.co.nz/job/75713492?type=standout&ref=search-standalone&origin=cardTitle#sol=860fd13fab0421d2faf4011a764a6102b3e0c88a,,,027 303 6546,Wellington Central,Wellington,"$78,750 - $103,500",2024-05-09
Early Childhood Teacher - Ponsonby,Randstad - Education,"Beautiful, RIE focused centre located in Central Auckland are looking for a fully qualified ECT to join their team.",https://www.seek.co.nz/job/75714342?type=standard&ref=search-standalone&origin=cardTitle#sol=8bcc613acd39d1198d10f0bf7ebc58ead371ee7a,,rachael.amour@randstad.co.nz,,Wellington Central,Wellington,NZD 32 - 40 per hour,2024-05-09
Extended Care Paramedic (ECP)/Paramedic (Fixed Term),Tu Ora Compass Health,An exciting opportunity as arisen for an Extended Care Paramedic/Paramedic to join our team at Tū Ora Compass Health.,https://www.seek.co.nz/job/75713963?type=standout&ref=search-standalone&origin=cardTitle#sol=ae4a1f184979acea6f176afbe7030a76c010552f,,HR@tuora.org.nz,,Wellington Central,Wellington,$80k - $100k p.a.,2024-05-09
"Senior Research Advisor for Hon Jo Luxton, MP",Parliamentary Service,Bring your renowned research experience and efficient administrative skills.,https://www.seek.co.nz/job/75711935?type=standout&ref=search-standalone&origin=cardTitle#sol=a0858efb2bca7989e7d60d380eb7e4e1feec94a6,,recruitment@parliament.govt.nz,,Wellington Central,Wellington,,2024-05-09
Network Reliability Engineer - Gas,Powerco,We are seeking an experienced Network Reliability Engineer to join our Asset Strategy team and help shape the future of our gas business.,https://www.seek.co.nz/job/75712235?type=standout&ref=search-standalone&origin=cardTitle#sol=59aed699c83bf60fbf037793522ac9e77510f2e9,,kiaora@powerco.co.nz,,Wellington Central,Wellington,,2024-05-09
Intermediate Quantity Surveyor (Interior Fit-Out),RobLawMax Recruitment,Great opportunity to join a great company with great projects in a great role!,https://www.seek.co.nz/job/75711618?type=standout&ref=search-standalone&origin=cardTitle#sol=409e226af6b5ced07e4eb75a6ce77a68cc24a8ab,,elizabethg@roblawmax.co.nz,,Wellington Central,Wellington,,2024-05-09
Business Development Manager - Industrial Equipment,JOBCORP NZ Ltd,"The role involves growing sales from new accounts, development of new business, and achievement of sales targets within a prime market area",https://www.seek.co.nz/job/75719378?type=standout&ref=search-standalone&origin=cardTitle#sol=eaf254fd0ad48db3eabae2eb5c4952921fa5cacd,,,021 271 3205,Wellington Central,Wellington,,2024-05-09
Senior Product Owner,Earthquake Commission,"The Earthquake Commission - Toka Tū Ake Permanent role Based in Ōtautahi (Christchurch) | Whanganui a Tara (Wellington) A hybrid working opportunity P",https://www.seek.co.nz/job/75712541?type=standout&ref=search-standalone&origin=cardTitle#sol=eb242173f8a08f744e03c195776201f5fdca9879,,recruitment@eqc.govt.nz,,Wellington Central,Wellington,,2024-05-09
Investigating Lawyer,Serious Fraud Office,Passionate about your criminal law career? Think investigating and prosecuting fraud and corruption of national significance is your thing?,https://www.seek.co.nz/job/75717386?type=standout&ref=search-standalone&origin=cardTitle#sol=dee85c17051f8fc5f8e2a3630ca286e64bbd99bf,,recruitment@sfo.govt.nz,021 199 0985,Wellington Central,Wellington,,2024-05-09
Senior Product Owner,Earthquake Commission,"The Earthquake Commission - Toka Tū Ake Permanent role Based in Ōtautahi (Christchurch) | Whanganui a Tara (Wellington) A hybrid working opportunity P",https://www.seek.co.nz/job/75712540?type=standout&ref=search-standalone&origin=cardTitle#sol=e6afd7417ec78b219eb023fb94ff3ba3291b43ae,,recruitment@eqc.govt.nz,,Christchurch Central,Canterbury,"Generous leave policy, Competitive base salary",2024-05-09
Principal Front End Engineer,Tribe (New Zealand) Limited,"Exciting opportunity for a Principal Frontend Engineer role, shaping product UI",https://www.seek.co.nz/job/75723980?type=standout&ref=search-standalone&origin=cardTitle#sol=4f674c75d6e9bab2763a4962e8d22bc3357f4dec,,,0274500560,Christchurch Central,Canterbury,,2024-05-09
Employment Solicitor/ Senior Solicitor,Fluid Legal,3+ PQE. Combination of public and private sector work.,https://www.seek.co.nz/job/75723416?type=standout&ref=search-standalone&origin=cardTitle#sol=50b99b9bd7aa265ea57ae6450b93d5643cd3bac4,,mia@fluidrecruitment.co.nz,027 915 3064,Christchurch Central,Canterbury,,2024-05-09
Senior Data Consultant (MS SSIS),Ocean IT Recruitment Limited,"Premier NZ, Equal Opportunity Employer. Data & Business Intelligence Specialist. MS SQL Server, MS Azure Data Cloud",https://www.seek.co.nz/job/75713401?type=standout&ref=search-standalone&origin=cardTitle#sol=6b9655e09627153612b589769c03b33ee8694e28,,carl@oceanit.co.nz,,Christchurch Central,Canterbury,,2024-05-09
Senior Advisor Risk Reduction and Resilience,Earthquake Commission,The Earthquake Commission - Toka Tū Ake Permanent role Based in Whanganui a Tara (Wellington) A hybrid working opportunity Professional development su,https://www.seek.co.nz/job/75713594?type=standout&ref=search-standalone&origin=cardTitle#sol=483b96d1ecd0cd8784adcf8ad98cdda26d3e5254,,recruitment@eqc.govt.nz,,Christchurch Central,Canterbury,,2024-05-09
Maintenance Builder/Project Manager,Maintain Easy Limited,"If you are a motivated and experienced Maintenance Builder/Project Manager seeking to advance your career, we encourage you to apply.",https://www.seek.co.nz/job/75718018?type=standard&ref=search-standalone&origin=cardTitle#sol=0789c80825a2822b3aac8a0d3f93ac9ed6fd23b5,,hr@pragma.co.nz,,Christchurch Central,Canterbury,,2024-05-09
Intelligent Transport Systems (ITS) Engineer,Tauranga City Council,Join forward-thinking professionals and be at the forefront of transformative projects in the Tauranga Transport Network Operations team (TTOC),https://www.seek.co.nz/job/75711670?type=standout&ref=search-standalone&origin=cardTitle#sol=166ca056041ce09e64d97f953c360298c10f9bcc,,recruitment@tauranga.govt.nz,,Christchurch Central,Canterbury,,2024-05-09
