title,company,description,link,listedOn,email,phone,city,region,salary,runDate,comms,jobType,fullDescription,jobClassification
Remote Role BAS Intermediate,Beany Limited,"As an Intermediate Accountant, you'll join our growing team and play a crucial role in delivering exceptional accounting support to our clients.",https://www.seek.co.nz/job/75747031?type=standout&ref=search-standalone&origin=cardTitle#sol=0ed91b942a3782d6b417e8959cce2e2d9b4bd973,,,,Wellington Central,Wellington,,10/05/2024,,,,
New Truck Sales Opportunity,CALIsuzu,This is a rare opportunity to join a well-established and well known truck dealership that values its people.,https://www.seek.co.nz/job/75748999?type=standout&ref=search-standalone&origin=cardTitle#sol=3c0c88c4191c1f86e68d4d66a4856c2e144769f3,,,,Wellington Central,Wellington,,10/05/2024,,,,
Site Security Manager,Transpower,Bring your expertise and practical experience in developing and implementing physical security designs to our unique context and setting!,https://www.seek.co.nz/job/75758650?type=standout&ref=search-standalone&origin=cardTitle#sol=3884458b5cfef106822604314233bbbcf26b60a1,,,,Wellington Central,Wellington,,10/05/2024,,,,
Global Business Development Manager,Enatel,We are looking to grow our Sales team with the new role of Global Business Development Manager.,https://www.seek.co.nz/job/75747384?type=standout&ref=search-standalone&origin=cardTitle#sol=0a74cbb5b4fa84162136a1ae14a91429e5087779,,recruitment@enatel.net,,Wellington Central,Wellington,,10/05/2024,,,,
Junior Human Resources Consultant,Mana Mahi Recruitment,Kickstart your HR career with a team dedicated to excellence. Ideal for newcomers eager for professional growth and mentorship.,https://www.seek.co.nz/job/75740873?type=standout&ref=search-standalone&origin=cardTitle#sol=fbd5c94f809cee2d5041d86011a2d80cfdb26df4,,,,Wellington Central,Wellington,,10/05/2024,,,,
Shift Supervisor,Keraplast Manufacturing,We have an exciting opportunity for an experienced Shift Supervisor to come and join our team!,https://www.seek.co.nz/job/75741175?type=standard&ref=search-standalone&origin=cardTitle#sol=29f54e055a42421523acd14375bc9c7bd4fa181a,,,,Wellington Central,Wellington,,10/05/2024,,,,
Crew Casual AV,Encore Event Technologies,We're the worlds leading and growing event solutions company. Events are back and we are hiring qualified and experienced audio visual technicians,https://www.seek.co.nz/job/75751847?type=standout&ref=search-standalone&origin=cardTitle#sol=3f9a4f07e0047a7f0fd398fd0e10d1731a7818f7,,,,Wellington Central,Wellington,,10/05/2024,,,,
Assessor Health & Wellbeing - Nationwide,Careerforce,"This role involves the provision of coaching, assessment feedback and assessment of qualifications up to and including Level 5, and support to akonga.",https://www.seek.co.nz/job/75753213?type=standout&ref=search-standalone&origin=cardTitle#sol=1c8afbfe7e8b4e98602408fe7f4862f59d4b5a73,,Damon.harrison@careerforce.org.nz,,Wellington Central,Wellington,,10/05/2024,,,,
Senior Communications Advisor,Energy Efficiency & Conservation Authority,An exciting fixed-term opportunity to join EECA's communications and content team,https://www.seek.co.nz/job/75745469?type=standout&ref=search-standalone&origin=cardTitle#sol=dda59391855613e5ded5f78fad282d3e2c15bc4e,,careers@eeca.govt.nz,,Wellington Central,Wellington,,10/05/2024,,,,
Youth Wellbeing Clinician,Nelson Bays Primary Health,"An exciting role within the Youth Mental Health & Addiction programme, presenting an opportunity for helping young people across our community.",https://www.seek.co.nz/job/75739161?type=standout&ref=search-standalone&origin=cardTitle#sol=ad34474e5dd9ece0858542c0e1b2f31a4cc1af91,,hr@nbph.org.nz,,Wellington Central,Wellington,,10/05/2024,,,,
Engagement and Wellness Manager,PGL,"As a shared service to the Profile Group, the overall People function aims to contribute to the productivity and performance of all the businesses.",https://www.seek.co.nz/job/75751245?type=standout&ref=search-standalone&origin=cardTitle#sol=d4b6cbb84366596d7baf0dbe5616215af72eb593,,,,Wellington Central,Wellington,,10/05/2024,,,,
IT Engineer,NetYourJob,Help I.T. has a great opportunity for someone who can deliver highly technical solutions and gain trust with existing clients as our IT Engineer,https://www.seek.co.nz/job/75754555?type=standout&ref=search-standalone&origin=cardTitle#sol=2b4edb4c9d6fc3f58f0d4a63e063a0e521eecb99,,,,Wellington Central,Wellington,,10/05/2024,,,,
Equipment Dealer Account Manager,UDC Finance Ltd,We are currently looking for an experienced Dealer Account Manager to join our Equipment and Recreational Sales team based in Christchurch.,https://www.seek.co.nz/job/75740957?type=standout&ref=search-standalone&origin=cardTitle#sol=29c078d4f0b986a662485c393c32249d77c29735,,,,Wellington Central,Wellington,,10/05/2024,,,,
Assessor Health & Wellbeing - Nationwide,Careerforce,"This role involves the provision of coaching, assessment feedback and assessment of qualifications up to and including Level 5, and support to akonga.",https://www.seek.co.nz/job/75753195?type=standout&ref=search-standalone&origin=cardTitle#sol=b301f0d0e09b2ec4576d154e1f187f287f19232e,,Damon.harrison@careerforce.org.nz,,Wellington Central,Wellington,,10/05/2024,,,,
Business Development Manager,Build People Ltd,"Join NZ's glass leader - master the industry, champion client success, and elevate your career!",https://www.seek.co.nz/job/75740591?type=standout&ref=search-standalone&origin=cardTitle#sol=b971516ddc367c08e539b2b03dea31f9daed8757,,,021 159 4513,Wellington Central,Wellington,,10/05/2024,,,,
Regulatory Affairs Specialist,Fisher & Paykel Healthcare,Add value and grow your career in a menaingful role with a reputable company and a household name in NZ,https://www.seek.co.nz/job/75740705?type=standout&ref=search-standalone&origin=cardTitle#sol=5bab0a08558b30f84b52da6be8814568967a6f93,,recruit@fphcare.co.nz,,Wellington Central,Wellington,,10/05/2024,,,,
Business Analyst,Absolute IT Limited,"BA will responsible for completing the Holidays Act Programmes Process Design, Development and Delivery Implementation for the Rectification stage.",https://www.seek.co.nz/job/75740781?type=standout&ref=search-standalone&origin=cardTitle#sol=e42632b5603f6fd13580389db89be7ab004a0ad3,,,,Wellington Central,Wellington,,10/05/2024,,,,
Engineering Development Manager,RWA People - Connecting IT people with outstanding jobs,Lead a highly talented development team including hardware and software,https://www.seek.co.nz/job/75746678?type=standout&ref=search-standalone&origin=cardTitle#sol=f90d8833f20a3f155bbb305c70c7e9a3548c9adb,,,,Wellington Central,Wellington,,10/05/2024,,,,
Regulatory Affairs Specialist - Fixed Term,Fisher & Paykel Healthcare,Opportunity to develop your experience in a 9 month fixed term parental leave cover position with a reputable and iconic NZ business,https://www.seek.co.nz/job/75740930?type=standout&ref=search-standalone&origin=cardTitle#sol=cb050522eff628f15dc4a5756d54d7ef4f35cfe1,,recruit@fphcare.co.nz,,Wellington Central,Wellington,,10/05/2024,,,,
Manager - Planning & Performance,Crown Law,Join an organisation with a clear vision that makes a difference for New Zealanders.,https://www.seek.co.nz/job/75743844?type=promoted&ref=search-standalone&origin=cardTitle#sol=48313fe070977a474ad085e01e2735c71d95da6f,,HR@crownlaw.govt.nz,,Thorndon,Wellington,"$100,000 ????? $120,000 per year",10/05/2024,,,,
Remote Role BAS Manager - Chartered Accountant,Beany Limited,"Tired of the cliche? Yeah, us too. We've flipped the switch on accounting. Our tech does the admin so you can help your clients succeed.",https://www.seek.co.nz/job/75740411?type=promoted&ref=search-standalone&origin=cardTitle#sol=e89c67a934603dc3cb7d1645e4cb5e8fdeee03e0,,,,Thorndon,Wellington,Competitive salary + generous staff benefits!,10/05/2024,,,,
Kaitakawaenga - Literacy Facilitator,Massey University,Passionate about education? Experienced Literacy Facilitator? Join our team and make a difference!,https://www.seek.co.nz/job/75745659?type=standout&ref=search-standalone&origin=cardTitle#sol=9f7cf5c89e571e00325fa80d1f082753d2ca7400,,,0211709286,Thorndon,Wellington,"$75,000 ????? $110,000 per year + commission/contract",10/05/2024,,,,
Rural-Court dual reporter - Ashburton Guardian,Ashburton Guardian,"Report on court news in Ashburton, Timaru and Christchurch and provide agricultural content for award winning Ashburton Guardian.",https://www.seek.co.nz/job/75744611?type=standard&ref=search-standalone&origin=cardTitle#sol=99fa0f2185504f6b6e71635b92117da201f4abab,,daisy.h@theguardian.co.nz,022 123 0287,Thorndon,Wellington,Competitive salary and benefits package,10/05/2024,,,,
Operations Manager (Maternity Cover),Rosewood Hotels,Step in as second in command of all hotel Operations and full responsibility in the General Manager?????s absence.,https://www.seek.co.nz/job/75746578?type=standout&ref=search-standalone&origin=cardTitle#sol=293f2414432ac113b762de771224c406a2626e0d,,,,Thorndon,Wellington,Competitive salary + generous staff benefits!,10/05/2024,,,,
Sales Manager,ADVANCE INTERNATIONAL CLEANING SYSTEMS (NZ) LTD,"We are seeking an organised, dynamic and results focused Sales Manager-Leader to promote and represent our products in the greater Waikato Region",https://www.seek.co.nz/job/75739402?type=standout&ref=search-standalone&origin=cardTitle#sol=c0324f3337ac077bd16247b96da4757cd0870d72,,careers@advanceclean.co.nz,,Thorndon,Wellington,,10/05/2024,,,,
Education and Employment Lead,Te Runanga o Toa Rangatira Inc,Join an organisation that is dedicated to making a positive difference in our community. Apply today.,https://www.seek.co.nz/job/75752955?type=standout&ref=search-standalone&origin=cardTitle#sol=35d90dacee4da46417fca0f673131b0d06636e78,,,027 655 2970,Thorndon,Wellington,,10/05/2024,,,,
Senior Application Support Specialist,Momentum Consulting Group,"Bring your technical mind, application support experience and love of solving problems to this role",https://www.seek.co.nz/job/75751028?type=standout&ref=search-standalone&origin=cardTitle#sol=fde5b9fc83fbc6bc91aeb3ff3608ac5b76abb152,,,,Thorndon,Wellington,,10/05/2024,,,,
Architectural Technician/Designer,Archispace,"We design and develop multi-residential projects. Join the team and grow. Options - Flexible hours, remote, contract work, bonuses.",https://www.seek.co.nz/job/75743192?type=standout&ref=search-standalone&origin=cardTitle#sol=f7c37a5a3c95436671aef2321030f2b58bc635cf,,tim@archispace.co.nz,,Thorndon,Wellington,,10/05/2024,,,,
Procurement Manager,Contact Energy,"Lead procurement strategies, drive value, and foster relationships as well as innovating sourcing options to optimise performance and mitigate risks",https://www.seek.co.nz/job/75747797?type=standout&ref=search-standalone&origin=cardTitle#sol=4a231aa95c04f41d3d61c7598ef59be813c2ca9b,,,,Thorndon,Wellington,,10/05/2024,,,,
Health & Safety Manager,Oceania Dairy Ltd,Be the one who takes charge and leads us in maintaining a safety led organisation who put our values first.,https://www.seek.co.nz/job/75748736?type=standout&ref=search-standalone&origin=cardTitle#sol=22bc55cd04777f3635e59b02502e05cf603fc16c,,,,Thorndon,Wellington,,10/05/2024,,,,
Digital Analyst,Auckland Council,Exciting opportunity for a Digital Analyst to join on a short 4-month fixed term supporting delivery and business outcomes.,https://www.seek.co.nz/job/75742131?type=standout&ref=search-standalone&origin=cardTitle#sol=7bf16006aaa247ed28aacf5a0efc2b27a568bb6e,,,,Thorndon,Wellington,,10/05/2024,,,,
Supply Planner,Ziwi Limited,We are looking for an experienced Supply Planner to join the busy team at our Super Kitchen in Awatoto.,https://www.seek.co.nz/job/75752412?type=standout&ref=search-standalone&origin=cardTitle#sol=964267b82b8a1833c916763e60c9a4b7e3f3933a,,,,Thorndon,Wellington,,10/05/2024,,,,
Commercial Business Accountant,Fluid Accounting and Finance,Are you a skilled and detail-oriented accountant looking for an exciting contract opportunity in Hamilton?,https://www.seek.co.nz/job/75742176?type=standout&ref=search-standalone&origin=cardTitle#sol=e88f0392c240a183ce55d5c0e5095a616951754d,,james@fluidrecruitment.com,,Thorndon,Wellington,,10/05/2024,,,,
Complaint Facilitator,Real Estate Authority,"Apply your experience in conflict, complaint or case management to handle complaints in the Real Estate sector in a supportive organisation.",https://www.seek.co.nz/job/75740724?type=standout&ref=search-standalone&origin=cardTitle#sol=42ca4f5f2629e3733eb160bf6b1770005e0fc84f,,recruitment@rea.govt.nz,,Thorndon,Wellington,,10/05/2024,,,,
National Manager Property - Flexible location - Permanent,Fire and Emergency New Zealand,Property management at FENZ is changing and we are seeking an outstanding individual to manage our property portfolio.,https://www.seek.co.nz/job/75743604?type=standout&ref=search-standalone&origin=cardTitle#sol=c8dfe96d26c3fdaa1a17cb71fc85705ed593fb98,,nhqjobs@fireandemergency.nz,,Thorndon,Wellington,,10/05/2024,,,,
SAP Functional Analyst,Foodstuffs North Island Ltd,"Take your SAP experience to the next level, gain great technical knowledge and grow your IT career with Foodies - one of NZ?????s largest retailers!",https://www.seek.co.nz/job/75739382?type=standout&ref=search-standalone&origin=cardTitle#sol=e00221fb985066097d58e2ba0ecaeee9f8ae5adc,,,,Thorndon,Wellington,,10/05/2024,,,,
Kaitakawaenga - Literacy Facilitator,Massey University,Passionate about education? Experienced Literacy Facilitator? Join our team and make a difference!,https://www.seek.co.nz/job/75745646?type=standout&ref=search-standalone&origin=cardTitle#sol=9ebbc8931fd6a551e4528c396aad9e41d9693d87,,,0211709286,Thorndon,Wellington,,10/05/2024,,,,
Maintenance Fitter,SourceHR,Maintenance Fitter needed for large industrial plant machinery; East Tamaki site,https://www.seek.co.nz/job/75749119?type=standout&ref=search-standalone&origin=cardTitle#sol=d2a69901af4f661825fcaf98644b668412fb0b09,,,,Thorndon,Wellington,,10/05/2024,,,,
Project and Process Improvement Engineer,Technical Recruitment Solutions,"Newly created Project Engineering role within a modern, automated plant with a range of interesting capital projects. South Auckland location.",https://www.seek.co.nz/job/75752036?type=standout&ref=search-standalone&origin=cardTitle#sol=05392a5644da774c819235a689f06b5aea9d6592,,olivia@trs.co.nz,,Thorndon,Wellington,,10/05/2024,,,,
Sales Consultant,Terra Lana Products,"This is a great sales role within a well-established, yet fast growing company which values its staff and has a great team culture.",https://www.seek.co.nz/job/75741485?type=standout&ref=search-standalone&origin=cardTitle#sol=0bcdbc9750fc72ebd100d4b9cbc17f673a579dcb,,,,Thorndon,Wellington,,10/05/2024,,,,
Maintenance Engineer,Scitex Recruitment Limited,Join a pharmaceutical company who has been in the industry for more than 30 years! Well respected for their fantastic culture & future career growth.,https://www.seek.co.nz/job/75750989?type=standout&ref=search-standalone&origin=cardTitle#sol=78333cd029dd5133d429e2585d0c79aa13535fc5,,clarence@scitexgroup.com,,Thorndon,Wellington,,10/05/2024,,,,
Marketing Coordinator - RV Super Centre,RV Super Centre,We have an incredible opportunity for an energetic social marketer to join our award-winning team as a Marketing Coordinator!,https://www.seek.co.nz/job/75739196?type=promoted&ref=search-standalone&origin=cardTitle#sol=7496c3ca17bd283ef97e5dd2ab81aca375debb24,,,,Auckland Airport,Auckland,$44 ????? $66 per hour,10/05/2024,,,,
Licensed Cadastral Surveyor,Beca,"Our team deliver a wide range of projects, providing survey services for cadastral, land development & large-scale infrastructure projects",https://www.seek.co.nz/job/75746412?type=promoted&ref=search-standalone&origin=cardTitle#sol=96da34b45e2cb86ff7a520fbd4e02a9fef9de3d5,,,,Auckland Airport,Auckland,$44 ????? $66 per hour,10/05/2024,,,,
Senior Systems Administrator,Cedenco Foods New Zealand Ltd,"If you're driven to achieve results, thrive on meeting daily outcomes, want to feel valued for your skills, this is the position for you!",https://www.seek.co.nz/job/75739120?type=standout&ref=search-standalone&origin=cardTitle#sol=43d0ddb72b688eaa9f09c509e847be3ce2fed0ad,,,,Auckland Airport,Auckland,$44 ????? $66 per hour,10/05/2024,,,,
T and I Instructional Designer,DOWNER NZ,"Here's your time to shine in a role that relies on collaboration, compliance and creativity!",https://www.seek.co.nz/job/75742273?type=standout&ref=search-standalone&origin=cardTitle#sol=05d850fb5e5ab4d5b1348a0319467fe86cfe90a5,,,,Auckland Airport,Auckland,"$102,000 to $120,000",10/05/2024,,,,
Care Coordinator,Broadway Health Medical Centre,This role is new to our practice so there is a great opportunity for you to make it your own with the support of a dynamic team.,https://www.seek.co.nz/job/75739340?type=standout&ref=search-standalone&origin=cardTitle#sol=94ba52ad57fdd63079b5268a74aae21581ef448f,,,,Auckland Airport,Auckland,Competitive salary + generous staff benefits!,10/05/2024,,,,
Sales Consultant,Cristal Air International Ltd,Join a well-known brand and and help us make all Kiwi homes healthier! We have a dedicated team of consultants who will generate leads for you.,https://www.seek.co.nz/job/75741447?type=standout&ref=search-standalone&origin=cardTitle#sol=26edc8264e0350f88687010b2640a0fd3692b16e,,,,Auckland Airport,Auckland,Competitive,10/05/2024,,,,
Community Care Coordinator,ProCare,Are you passionate about making a real difference in people's lives? We are seeking passionate and talented individuals to join our dynamic team.,https://www.seek.co.nz/job/75749403?type=standout&ref=search-standalone&origin=cardTitle#sol=f2e226b94740854f0cfbd26f281b77f4633de502,,,,Auckland Airport,Auckland,NZD 40 - 50 per hour,10/05/2024,,,,
"Social workers, RNs, OTs, Psychotherapists, Health Professionals TBI experience",tlc4u2 Ltd,"Great opportunity for a standout person to work as part of a great team, providing support to a female client in her own home and community.",https://www.seek.co.nz/job/75744627?type=standout&ref=search-standalone&origin=cardTitle#sol=43eec534f15f17664a4eff9d0bbe74b26531bf0d,,recruitment@tlc4u2.co.nz,,Auckland Airport,Auckland,base plus kiwsaver and benefits,10/05/2024,,,,
"Social workers, RNs, OTs, Psychotherapists, Health Professionals TBI experience",tlc4u2 Ltd,"Great opportunity for a standout person to work as part of a great team, providing support to a female client in her own home and community.",https://www.seek.co.nz/job/75744581?type=standout&ref=search-standalone&origin=cardTitle#sol=25dd58a1676aee0caa0e95c4b826809d22df5752,,recruitment@tlc4u2.co.nz,,Auckland Airport,Auckland,$120K - $130K,10/05/2024,,,,
"Social workers, RNs, OTs, Psychotherapists, Health Professionals TBI experience",tlc4u2 Ltd,"Great opportunity for a standout person to work as part of a great team, providing support to a female client in her own home and community.",https://www.seek.co.nz/job/75744721?type=standout&ref=search-standalone&origin=cardTitle#sol=2035df57933a0d13d067ed4e268727ff91d6c622,,recruitment@tlc4u2.co.nz,,Auckland Airport,Auckland,,10/05/2024,,,,
Senior Contract Manager - Business Partner,Land Information New Zealand,Provide specialised advice to our property management teams and feed into the delivery of Crown Property objectives and work programmes.,https://www.seek.co.nz/job/75740675?type=standout&ref=search-standalone&origin=cardTitle#sol=09cf4e7e40ed39af8ffebbd96407236465dd5116,,opportunities@linz.govt.nz,,Auckland Airport,Auckland,,10/05/2024,31/07/2024,,,
Senior Associate - Corporate Finance - Deals,PricewaterhouseCoopers,"Join our Auckland team as a Senior Associate in Corporate Finance, working on cutting-edge transactions with prestigious clients.",https://www.seek.co.nz/job/75744055?type=standout&ref=search-standalone&origin=cardTitle#sol=8d57990340eac21e03a821ea7be0483a755c9026,,,,Auckland Airport,Auckland,,10/05/2024,,,,
Sales and Marketing Graphic Designer,NZSki Ltd,"Scale new peaks in your career working with some of New Zealand's most well recognised tourism brands! NZSki, Ultimate Hikes and The Hermitage operat",https://www.seek.co.nz/job/75742246?type=standout&ref=search-standalone&origin=cardTitle#sol=fc2955f27a091c69faf134368003c0ebbcbd418b,,,,Auckland Airport,Auckland,,10/05/2024,,,,
New Home Consultant,Massey University,A great opportunity to join a dynamic business in the residential construction industry,https://www.seek.co.nz/job/75739160?type=standout&ref=search-standalone&origin=cardTitle#sol=927f8ecaa661b100dd8e169e4671e6cc2af15f32,,,,Auckland Airport,Auckland,,10/05/2024,,,,
Scheduling Analyst,Tourism New Zealand,Join us as a Scheduling Analyst! Utilise your customer service skills for efficient timetable development. Career growth awaits in our organisation.,https://www.seek.co.nz/job/75741516?type=standout&ref=search-standalone&origin=cardTitle#sol=13d63b063cab70b63af5bb462a740cfd56d2bbac,,,,Auckland Airport,Auckland,,10/05/2024,,,,
Senior Public Relations Executive,RWA People - Connecting IT people with outstanding jobs,Create world-class &#8216;earned' coverage and content through the provision of strategic global PR projects and activity,https://www.seek.co.nz/job/75744240?type=standout&ref=search-standalone&origin=cardTitle#sol=8a4e823e4f1bf486a18da1ed061e39f6babcf6f0,,,,Auckland Airport,Auckland,,10/05/2024,,,,
Senior Digital Transformation Consultant - APAC,Mike Greer Homes,Looking for a Digital Transformation Manager - Industry 4.0 champion,https://www.seek.co.nz/job/75740899?type=standout&ref=search-standalone&origin=cardTitle#sol=8474241459af37c91e781478b81012b2fc154dff,,marian@rwa.co.nz,,Auckland Airport,Auckland,,10/05/2024,14/07/2024,,,
Architectural Technician,PGG Wrightson,A new opportunity for an Architectural Technician to join a busy Design team and experience growing with a national home construction brand.,https://www.seek.co.nz/job/75750578?type=standout&ref=search-standalone&origin=cardTitle#sol=e08da0cdd85ab955daddc4e1b832fbf050606e7a,,phughes@mikegreerhomes.co.nz,,Auckland Airport,Auckland,,10/05/2024,,,,
Technical Advisor,Tradestaff,Great opportunity for a passionate Technical Advisor in Canterbury.,https://www.seek.co.nz/job/75742171?type=standout&ref=search-standalone&origin=cardTitle#sol=be7bf156568eedeb8453f7ef8a00f844dfdda972,,,027 636 8082,Auckland Airport,Auckland,,10/05/2024,,,,
Fitter/ Maintenance Worker,Meridian,Tradestaff are seeking an experienced Maintenance Fitter to join our team for an immediate start! $40 - $50 ph,https://www.seek.co.nz/job/75751723?type=standard&ref=search-standalone&origin=cardTitle#sol=0ac0d368e4cb3339bc979e8bd3863f5315aab65e,,,,Auckland Airport,Auckland,,10/05/2024,,,,
Data Insights Analyst,Absolute IT Limited,"Provide high quality data, modelling, reports and insights. Open to someone junior or experienced. Power BI, Dax, SQL or similar. Chch or Wlg based",https://www.seek.co.nz/job/75750973?type=standout&ref=search-standalone&origin=cardTitle#sol=a4726d28c42cbb331adf93d75c3610f5501f3896,,,,Auckland Airport,Auckland,,10/05/2024,,,,
Principal Advisor Self Service Channels,,Modernizing national services with user-friendly digital solutions & self-service options.,https://www.seek.co.nz/job/75739384?type=standout&ref=search-standalone&origin=cardTitle#sol=feb6fcc86882ab5d23e1fe0cd3d9aa7b979323fc,,,,Auckland Airport,Auckland,,10/05/2024,,,,
Administration and Logistics Manager,Taranaki Regional Council,"We are looking for a passionate, committed and innovative Administration and Logistics Manager to join our team.",https://www.seek.co.nz/job/75748456?type=promoted&ref=search-standalone&origin=cardTitle#sol=2636fcd8ac3e76430cc7f0258f1b2ba6c6a15587,,,,Stratford,Taranaki,"$80,000 ????? $100,000 per year",10/05/2024,,,,
Mid-Senior Level Developer,Mystro Management Limited,Assist us with the creation of a new product and work with the latest AWS technologies.?? There is no need to support any legacy systems.,https://www.seek.co.nz/job/75739504?type=promoted&ref=search-standalone&origin=cardTitle#sol=9653620192553239edda69bcb6f16e6f055e5813,,angela.miller@orbitwellington.com,,Stratford,Taranaki,"$102,000 to $120,000",10/05/2024,,,,
Senior Manager ????? (Relocation to Hawkes Bay),Crowe,Write your next chapter with Findex where you can grow your career with us from anywhere.,https://www.seek.co.nz/job/75752173?type=standout&ref=search-standalone&origin=cardTitle#sol=08b6d94d947877b13a5529d7497152d8a578a298,,,,Stratford,Taranaki,"$110,000 ????? $150,000 per year",10/05/2024,,,,
Territory Manager Medical Devices,Synergy Consulting Group 2008 Ltd,An exciting opportunity exists for an experienced medical devices territory manager to drive change & add impact in the medical device industry.,https://www.seek.co.nz/job/75120978?type=standout&ref=search-standalone&origin=cardTitle#sol=5b7b597c16918490dff310dc5fabebc47a412b45,,chrisb@synergyconsult.co.nz,,Stratford,Taranaki,$110'000k + Vehicle,10/05/2024,,,,
Refinery Plant Operator,The Right Staff Ltd,"Ideal for an experienced plant operator with good mechanical aptitude and problem-solving skills, who has worked night shifts successfully before.",https://www.seek.co.nz/job/75747635?type=standout&ref=search-standalone&origin=cardTitle#sol=9b312f4ce90c6bd2abf19608c261803b4cf72905,,,,Stratford,Taranaki,,10/05/2024,,,,
Mechanical Technician / Fitter (Can Making),Orora Beverage Cans,"A great opportunity for an exciting, fast paced role within a well established manufacturing environment.",https://www.seek.co.nz/job/75741813?type=standard&ref=search-standalone&origin=cardTitle#sol=5abf50cefe2fd86c490638d59a970b5985ef6c46,,,,Stratford,Taranaki,,10/05/2024,,,,
Health& Safety Specialist (6 Week Contract Role),Impac Services Limited,Looking for some short-term H & S project work? This could be a great opportunity for you.,https://www.seek.co.nz/job/75739375?type=standard&ref=search-standalone&origin=cardTitle#sol=d6f71cf2e8f805d304936cad39b86510c381f966,,,027 353 2625,Stratford,Taranaki,,10/05/2024,,,,
T and I Instructional Designer,DOWNER NZ,"Here's your time to shine in a role that relies on collaboration, compliance and creativity!",https://www.seek.co.nz/job/75742269?type=standout&ref=search-standalone&origin=cardTitle#sol=74b57fc9b7f762f4da10c05c1e3b3e5d1ac4e7b8,,,,Stratford,Taranaki,,10/05/2024,,,,
Senior Marketing Coordinator,Tuapeka Gold Print,Join our innovative team and make a real impact! Explore exciting opportunities with us today.,https://www.seek.co.nz/job/75751131?type=standard&ref=search-standalone&origin=cardTitle#sol=9577ed0488a1511d4d626c7d94ac35b54896f28d,,,,Stratford,Taranaki,,10/05/2024,,,,
Sales Manager-BDM,ADVANCE INTERNATIONAL CLEANING SYSTEMS (NZ) LTD,"We are seeking an organised, dynamic and results focused Sales Manager to promote and represent our products in the greater Hawkes Bay Region",https://www.seek.co.nz/job/75739372?type=standout&ref=search-standalone&origin=cardTitle#sol=d46e80f10209d0bd1a57a4fe0d577c55ae8f27a7,,careers@advanceclean.co.nz,,Stratford,Taranaki,,10/05/2024,,,,
Site Security Manager,Transpower,Bring your expertise and practical experience in developing and implementing physical security designs to our unique context and setting!,https://www.seek.co.nz/job/75758651?type=standout&ref=search-standalone&origin=cardTitle#sol=e0144885f55e5c47dc6992d8eda0513ce1672e63,,,,Stratford,Taranaki,,10/05/2024,,,,
Senior Contract Manager - Business Partner,Land Information New Zealand,Provide specialised advice to our property management teams and feed into the delivery of Crown Property objectives and work programmes.,https://www.seek.co.nz/job/75740667?type=standout&ref=search-standalone&origin=cardTitle#sol=c3cce8a7d5fdd6d6bf5dd449520cc386999cfc1b,,opportunities@linz.govt.nz,,Stratford,Taranaki,,10/05/2024,31/07/2024,,,
Cleaning Contract Manager,ISS Facility Services,This permanent full time role supports our National Operations Manager by managing cleaning services at event & function venues in the Wellington.,https://www.seek.co.nz/job/75741532?type=standout&ref=search-standalone&origin=cardTitle#sol=cc987439539a2305df8347629357ac383334044a,,,,Stratford,Taranaki,,10/05/2024,,,,
Deputy Chief Executive - Policy,Ministry of Transport,Deliver the Policy group?????s strategy and functions through the provision of robust and pragmatic policy advice and empowering people leadership.,https://www.seek.co.nz/job/75748190?type=standout&ref=search-standalone&origin=cardTitle#sol=4537e5c6a066d1c614ca6c29fd2406a6d3fae6e3,,r.bakker@transport.govt.nz,022 014 5419,Stratford,Taranaki,,10/05/2024,,,,
Tumuaki,"Otago Polytechnic | Te P??kenga","Be at the forefront of M??ori education, making a real and sustainable difference for ??konga, their wh??nau and our wider h??pori.",https://www.seek.co.nz/job/75743771?type=standout&ref=search-standalone&origin=cardTitle#sol=14dd6e7f981eed42a493cb7f2effcbef48654a92,,shaun.tahau@op.ac.nz,,Stratford,Taranaki,,10/05/2024,,,,
Estimator/Quantity Surveyor,Glasshouse Recruitment Limited,Innovated & forward thinking D&B commercial contractor. Take the next step in your career. Join a business to enhance your career & personal lifestye.,https://www.seek.co.nz/job/75749926?type=standout&ref=search-standalone&origin=cardTitle#sol=57a36bb4c18b72ed7cddd91e7dd1101c5a94c20e,,natasha@glasshouserecruitment.co.nz,,Stratford,Taranaki,,10/05/2024,,,,
"HR Advisor, Human Resources",Te Whatu Ora Health New Zealand- Counties Manukau,"Counties Manukau District, one of Auckland?????s largest employers, is looking for experienced HR Advisor to join our diverse team",https://www.seek.co.nz/job/75741663?type=standout&ref=search-standalone&origin=cardTitle#sol=e11a3b713b4dbb51e3fdb593962e52c7526e4179,,tangi.namulauulu@middlemore.co.nz,,Stratford,Taranaki,,10/05/2024,,,,
Extended Care Paramedic,Broadway Health Medical Centre,This is a new role within our organisation so there is an opportunity to make it your own!,https://www.seek.co.nz/job/75739212?type=standout&ref=search-standalone&origin=cardTitle#sol=44c2ed85c648d62d2091c3c88df9bfc5461f3b90,,,,Stratford,Taranaki,,10/05/2024,,,,
Contracts Manager - Surfacing,PCL Contracting Ltd,We are looking for an experienced and people-focused Surfacing Contracts Manager to bring their particular skill set to the PCL Surfacing Division,https://www.seek.co.nz/job/75747112?type=standout&ref=search-standalone&origin=cardTitle#sol=4451fcdf40d1dc30248cdc99720eb19dedc63487,,,,Stratford,Taranaki,,10/05/2024,,,,
