title,company,description,link,listedOn,email,phone,city,region,salary,runDate,comms,jobType,fullDescription,jobClassification
Enterprise Solutions Project Coordinator,Public Sector People,Public Sector People are recruiting for a Project Coordinator to lead and manage small initiates within a Local Government team.,https://www.seek.com.au/job/77590593?type=standard&ref=search-standalone&origin=cardTitle#sol=1caba96a883d16fc8cfd6f279c633459daae7daa,,olivia@publicsectorpeople.com.au,,Sydney NSW,Canberra ACT,inc super,29/07/2024,29/07/2024,,,
"Group Manager, Digital Workplace Experience",Mirvac,"Drive the creation of intuitive, engaging, effective and efficient digital workplace experiences to end-users and customers at Mirvac.",https://www.seek.com.au/job/77596958?type=standout&ref=search-standalone&origin=cardTitle#sol=98f14d2d2c5f73b8edd1b972be0554dae49e6e6f,,,,Sydney NSW,Canberra ACT,180k-210k base + super,29/07/2024,,,,
Lead Data Architect and Data Engineer,The Recruitment Company,Fantastic opportunity for a Lead Data Architect & Engineer to join our global finance client who are kicking of a transformative enablement project.,https://www.seek.com.au/job/77601453?type=standard&ref=search-standalone&origin=cardTitle#sol=7089be536b70d5a660ca894e230ab8eb8936a6f7,,,,Sydney NSW,Canberra ACT,,29/07/2024,,,,
Artificial Intelligence Lead,Bendigo Kangan Institute,Do you want to make a real difference for students and industry? Join us as an Artificial Intelligence Lead Apply Now!,https://www.seek.com.au/job/77603374?type=standout&ref=search-standalone&origin=cardTitle#sol=d8e564dd1177b85354f107435399e6179f5f0e29,,,,Sydney NSW,Canberra ACT,,29/07/2024,,,,
Software Engineer,FinXL IT Professional Services,"Great role for a Software Engineer with JCL, Cobol and PL1 to work for a large organisation in the Sydney CBD and Work from home",https://www.seek.com.au/job/77648903?type=standard&ref=search-standalone&origin=cardTitle#sol=3a1f9c8404d0d7fdf083228e1134f996aa53bbaf,,,,Sydney NSW,Canberra ACT,,29/07/2024,,,,
Clinical Business Analyst,Pinpoint Talent,"BA to bring clinical systems expertise to the design & implementation of clinical solutions, for a Leading healthcare provider on a 2-year fixed-term.",https://www.seek.com.au/job/77649068?type=standout&ref=search-standalone&origin=cardTitle#sol=43fb238d53c3a19d7a928263e42a3f298c2240f9,,,,Sydney NSW,Canberra ACT,,29/07/2024,,,,
Reporting and Risk Manager,Aurec,We are looking to engage a skilled and enthusiastic Reporting and Risk Manager to join our Federal Government client!,https://www.seek.com.au/job/77647345?type=standard&ref=search-standalone&origin=cardTitle#sol=f0221419b9928f1112bbe4688e7f869f1654d459,,,,Sydney NSW,Canberra ACT,,29/07/2024,,,,
Project Manager,M&T Resources,Project Manager to lead Ellipse Evergreen Program.,https://www.seek.com.au/job/77647506?type=standout&ref=search-standalone&origin=cardTitle#sol=8cbe3b673401a53bf58b889f7f9c678baa8f5fe3,,carol.ferraz@mtr.com.au,,Sydney NSW,Canberra ACT,,29/07/2024,29/07/2024,,,
Solution Architect,Datacom,"Join our architecture team in the Intelligent Workspace, focusing on presales solutions for M365, End User, Endpoint and Mobility technologies",https://www.seek.com.au/job/77636590?type=standout&ref=search-standalone&origin=cardTitle#sol=cc4f8d5d822dcb0bbf1a530597e9f87c74f1853b,,,,Sydney NSW,Canberra ACT,,29/07/2024,,,,
Senior Software Engineer - Azure Portal,Microsoft,Play a pivotal role in developing the main interface cherished by millions of Azure customers.,https://www.seek.com.au/job/77636404?type=standout&ref=search-standalone&origin=cardTitle#sol=f510ba11a2652a6c6449712857ca752025a03a17,,,,Sydney NSW,Canberra ACT,,29/07/2024,,,,
Oracle ERP Finance Associate Director - Technology Implementation,KPMG,"Continuous business transformation with technology is essential for organisations seeking to grow, increase efficiencies and remain relevant.",https://www.seek.com.au/job/77644423?type=standout&ref=search-standalone&origin=cardTitle#sol=abc0035d07b2e151d11d9de485ac95385c6e23d1,,,,Sydney NSW,Canberra ACT,,29/07/2024,,,,
Geospatial Engineer,Hays | Technology,Long-term contract | Work on a multi-million dollar project | Hybrid working arrangements will be considered,https://www.seek.com.au/job/77644455?type=standout&ref=search-standalone&origin=cardTitle#sol=a6c4213059db65f474e32d03ea2cdd823855a55b,,Lillee.Keane@hays.com.au,,Sydney NSW,Canberra ACT,,29/07/2024,29/07/2024,,,
Project Manager,Mars Recruitment,"Project Manager / 12 month fixed-term contract / HRIS, Systems, Dynamics 365",https://www.seek.com.au/job/77644975?type=standout&ref=search-standalone&origin=cardTitle#sol=137833c63593266acfc5d5e1342244ee61ded251,,,,Sydney NSW,Canberra ACT,,29/07/2024,,,,
Iteration Manager,Eden Ritchie Recruitment,"Provide high-level iteration management services and deliver to customer requirements and service excellence, within a project services environment",https://www.seek.com.au/job/77645160?type=standard&ref=search-standalone&origin=cardTitle#sol=6e43e75d9a47a45c73d8a6ab7e1fe43f25f33e76,,,,Sydney NSW,Canberra ACT,,29/07/2024,,,,
Tech Business Analyst - CIAM,Morgan McKinley,This dynamic organisation is dedicated to revolutionizing the way customers interact with their digital platforms.,https://www.seek.com.au/job/77645441?type=standout&ref=search-standalone&origin=cardTitle#sol=edf7b2e778450af58121a0d763b98fbd34e9a1c0,,,,Sydney NSW,Canberra ACT,,29/07/2024,,,,
Senior Software/Machine Learning Engineer,Lookahead,Join successful Australian product company with a product that's used by tech companies around the world.,https://www.seek.com.au/job/77645501?type=standout&ref=search-standalone&origin=cardTitle#sol=80b965cdff928a3ba9db703fbff8bc9417277df1,,,,Sydney NSW,Canberra ACT,,29/07/2024,,,,
Senior Project Manager,NEC Australia Pty Ltd,"If you're passionate about delivering high-quality digital projects, apply now to join our NEC Professional Contracting Services team.",https://www.seek.com.au/job/77644228?type=standout&ref=search-standalone&origin=cardTitle#sol=354f970f76f93b09e3e5629f0bccf2a1f4ac8243,,,,Darwin NT,Sydney NSW,A 12 month contract initially.,29/07/2024,,,,
QA Software Engineer,The Onset,Be part of a recently built from scratch QA team and define your own roadmap.,https://www.seek.com.au/job/77646040?type=standout&ref=search-standalone&origin=cardTitle#sol=392220f100040c936b7dd3a0164716f6ce706986,,Reema@theonset.com.au,0499332019,Darwin NT,Sydney NSW,AUD 130000 - 160000 per annum,29/07/2024,29/07/2024,,,
Integration Technical Lead/Architect - MuleSoft,Paxus,Opportunity to work within a large complex environment with multiple initiatives.,https://www.seek.com.au/job/77590842?type=standard&ref=search-standalone&origin=cardTitle#sol=3b5aaa3fd18567e28f65fbea5ba270b19a276a51,,ayadav@paxus.com.au,,Darwin NT,Sydney NSW,$650 - $800 p.d. plus GST,29/07/2024,14/07/2024,,,
Security Engineer,M&T Resources,Security Engineer with expertise in Firewalls & switches. Need experience in AWS.,https://www.seek.com.au/job/77640368?type=standout&ref=search-standalone&origin=cardTitle#sol=6f9e670e4746577c86d2b8ded40dc37f47976897,,,,Darwin NT,Sydney NSW,120000 - 140000,29/07/2024,,,,
Product Manager,TheDriveGroup,Innovative health tech company,https://www.seek.com.au/job/77641403?type=standard&ref=search-standalone&origin=cardTitle#sol=595a9d03b5d51aed67a810a04b036c544df0217a,,,,Darwin NT,Sydney NSW,"$90,000 ?�? $130,000 per year",29/07/2024,,,,
Network Engineer - Expression of Interest,NTT Ltd,EOI for contract Network Engineer's in Sydney. Join our staff augmentation team and assist across a number of transformational initiatives,https://www.seek.com.au/job/77617161?type=standard&ref=search-standalone&origin=cardTitle#sol=fbe1f7255db5751d89fcaa12570804f350bef522,,,,Darwin NT,Sydney NSW,Generous salary package,29/07/2024,,,,
Data Engineer (Azure),Peoplebank Australia SA,Data Engineer (Microsoft Azure Data Factory) \ Multi-year role | Must be Australian Citizen | Adelaide based,https://www.seek.com.au/job/77597141?type=standout&ref=search-standalone&origin=cardTitle#sol=3d0a3e2e779cac5bfb96143c1caa9767bc9b9523,,,,Darwin NT,Sydney NSW,AUD 130000 - 150000 per annum,29/07/2024,,,,
IP Voice Engineering Superhero (Telecommunications / ISP),The Summit Group (Australia) Pty Ltd,It's OK to wear your undies on the outside! Come and show us your Super Hero Powers.,https://www.seek.com.au/job/77592867?type=standard&ref=search-standalone&origin=cardTitle#sol=bf69959aa158beb4d6c267133642d12296235746,,,,Darwin NT,Sydney NSW,$150-$170k base + super aligned w. experience,29/07/2024,,,,
Solution Consulting - Practice Manager,Frazer Tremble Executive,Frazer Tremble has partnered with a global software vendor as they source a Solution Consulting Practice Manager.,https://www.seek.com.au/job/77608331?type=standout&ref=search-standalone&origin=cardTitle#sol=d33a46dacad46190d04af3fca708921ae6ea4c12,,mark@frazertremble.com.au,,Darwin NT,Sydney NSW,$150K + benefits,29/07/2024,29/07/2024,,,
PRODUCT OPERATIONS MANAGER - Prepaid Cards,Zenith Payments Pty Ltd,Product Operations Manager - Prepaid Cards.,https://www.seek.com.au/job/77162657?type=standard&ref=search-standalone&origin=cardTitle#sol=0f0b43e5c33043740b19fe41424f72548a1747eb,,,,Darwin NT,Sydney NSW,Competitive Salary and Benefits,29/07/2024,,,,
AI & Generative AI Product Lead,Alcoa,The power is in your hands to shape the things that matter to us all.,https://www.seek.com.au/job/77607221?type=standout&ref=search-standalone&origin=cardTitle#sol=6dbeacb2db9af7377e391c185edf35ffc93768b9,,,,Darwin NT,Sydney NSW,$900 - $1k p.d.,29/07/2024,,,,
Principal SRE,Attribute Group,"Working on AWS tech stack, this Global Bank requires a Principal SRE with an ""automate everything"" approach.",https://www.seek.com.au/job/77590663?type=standout&ref=search-standalone&origin=cardTitle#sol=f486f553cd3c365dba1e5807e09256eb2ea199c0,,acronin@attributegroup.com.au,,Darwin NT,Sydney NSW,,29/07/2024,15/07/2024,,,
Product Owner - Electronic Warfare,The Decipher Bureau,Want to be treated like an adult? EW your cuppa? Keen to develop novel RF systems? Want to be recognised/rewarded? Enjoy cake (seriously)?,https://www.seek.com.au/job/77593342?type=standout&ref=search-standalone&origin=cardTitle#sol=829fd92255144f7391598ad56d657a64603bc5b0,,mpearman@decipherbureau.com,,Darwin NT,Sydney NSW,,29/07/2024,29/07/2024,,,
Business Analyst - Strategy/M&A,Allura Partners,Permanent Business Analyst - M&A strategy - $150K - Rare & exciting opportunity,https://www.seek.com.au/job/77591342?type=standard&ref=search-standalone&origin=cardTitle#sol=b42a0aa0741276b949beb86a3b507ddc19a82082,,Emily.sharkey@allurapartners.com.au,,Darwin NT,Sydney NSW,,29/07/2024,29/07/2024,,,
Spatial Technical Analyst,Paxus,We are looking for a skilled Spatial Technical Analyst to join our clients Enterprise Spatial Platform team.,https://www.seek.com.au/job/77596355?type=standard&ref=search-standalone&origin=cardTitle#sol=95026479b714fa0aabcb7e8ebd9100abb92a17a9,,srobertson@paxus.com.au,,Darwin NT,Sydney NSW,,29/07/2024,29/07/2024,,,
Senior Business Analyst - Cyber,University of New South Wales,The Senior Business Analyst - Cyber will support the delivery of the University?�?s Cyber Security Enablement Program (the Program).,https://www.seek.com.au/job/77623570?type=standard&ref=search-standalone&origin=cardTitle#sol=681fa2dc460464d0f5762dcf01521a18c1a6d9f7,,j.maclachlan@unsw.edu.au,,Darwin NT,Sydney NSW,,29/07/2024,14/07/2024,,,
Business Consultant - Property and Rating,Technology One Limited,Utilise your previous experience with Property and Rating software and join TechnologyOne's high-performing Consulting team!,https://www.seek.com.au/job/77637428?type=standout&ref=search-standalone&origin=cardTitle#sol=b6733050dc3d3ea8b53e382c3fa5f4a4651f6230,,,,Darwin NT,Sydney NSW,,29/07/2024,,,,
Node.JS Backend Engineer,Davidson,Exciting transformation project.,https://www.seek.com.au/job/77635071?type=standout&ref=search-standalone&origin=cardTitle#sol=94d123187d8767ff5a6dc40987ccec53727248f6,,simar.sajjan@davidsonwp.com,072024-3771,Darwin NT,Sydney NSW,,29/07/2024,29/07/2024,,,
Project Coordinator (Security Clearance Required),Peoplebank Australia NSW,We are looking for a Project Coordinator with Baseline Clearance - Long term Contract!!!,https://www.seek.com.au/job/77639065?type=standout&ref=search-standalone&origin=cardTitle#sol=3c2777bffeff9998a6d95f30df51c000daa69c3f,,Aparna.Sharma@peoplebank.com.au,,Darwin NT,Sydney NSW,,29/07/2024,29/07/2024,,,
Splunk Engineer,Datacom,"Join Datacom as a Splunk Engineer and focus on onboarding log sources, building dashboards and managing enterprise level Splunk environments",https://www.seek.com.au/job/77635433?type=standout&ref=search-standalone&origin=cardTitle#sol=1e9139b3d10c4f20bacb4f2f09305d5fcba85b63,,,,Darwin NT,Sydney NSW,,29/07/2024,,,,
Splunk Engineer,Datacom,"Join Datacom as a Splunk Engineer and focus on onboarding log sources, building dashboards and managing enterprise level Splunk environments",https://www.seek.com.au/job/77635399?type=standout&ref=search-standalone&origin=cardTitle#sol=8776abf37f4da665ad493aab69647ff507c2871f,,,,Darwin NT,Sydney NSW,,29/07/2024,,,,
Project Coordinator (Security Clearance Required),Peoplebank Australia NSW,We are looking for a Project Coordinator with Baseline Clearance - Long term Contract!!!,https://www.seek.com.au/job/77636977?type=standout&ref=search-standalone&origin=cardTitle#sol=03c2e970951147f595c7971cfd1b3ded43780a4d,,Aparna.Sharma@peoplebank.com.au,,Parramatta,Sydney NSW,Competitive Salary and Benefits,29/07/2024,29/07/2024,,,
Business Consultant - Enterprise Asset Management,Technology One Limited,Seeking people experienced with Enterprise Asset ERP software to join TechnologyOne's high performing consulting team.,https://www.seek.com.au/job/77636507?type=standout&ref=search-standalone&origin=cardTitle#sol=3b1a946044bef9878857097bd77223c559652cd2,,,,Parramatta,Sydney NSW,Competitive Salary and Benefits,29/07/2024,,,,
Senior Data Engineer,Troocoo,Senior Data Engineer role for an ASX listed technology provider,https://www.seek.com.au/job/77636429?type=standout&ref=search-standalone&origin=cardTitle#sol=db3e28ef35540ce5a79fb7ba99500d1858c6cba1,,,,Parramatta,Sydney NSW,Subsidised health insurance + stock discounts,29/07/2024,,,,
sql developer,Milestone Information Technology,Milestone IT are currently on the lookout for an experienced SQL Developer to join an amazing business on contract initially for 6 months. Experien...,https://www.seek.com.au/job/77637336?type=standout&ref=search-standalone&origin=cardTitle#sol=45e7b65e9f30a532275182bc111479118b3be367,,,,Parramatta,Sydney NSW,Subsidised health insurance + stock discounts,29/07/2024,,,,
Senior Consultant - Financials,Technology One Limited,Use your expert Financial ERP experience and join TechOne's high performing Consulting team,https://www.seek.com.au/job/77636130?type=standout&ref=search-standalone&origin=cardTitle#sol=45226fb29179c6bc15106b7c48484c0c39ceb3d9,,,,Parramatta,Sydney NSW,$900 - $1000 a day | 12 month contract,29/07/2024,,,,
Senior Software Engineer - Azure Portal,Microsoft,Play a pivotal role in developing the main interface cherished by millions of Azure customers.,https://www.seek.com.au/job/77636413?type=standout&ref=search-standalone&origin=cardTitle#sol=ecedbbcddc5c88e74a48a3e239c85daf3f39c96d,,,,Parramatta,Sydney NSW,Competitive Daily Rate,29/07/2024,,,,
SharePoint Administrator,Motion Recruitment,My client is looking for an SharePoint Administrator for an initial 3 month contract working for a local government with a strong chance of extension.,https://www.seek.com.au/job/77636037?type=standout&ref=search-standalone&origin=cardTitle#sol=2344c0693e52079039455c097c75a0af754c2208,,james@motionrecruitment.com.au,,Parramatta,Sydney NSW,Employer of Choice > Exciting Digital Projects,29/07/2024,29/07/2024,,,
Software Engineer,LEAP Dev,"Mid-Senior level opportunity with the ""Software House"" powering LEAP Legal Software. Help lawyers help people!",https://www.seek.com.au/job/77634409?type=standout&ref=search-standalone&origin=cardTitle#sol=3f3bc908c53209adcb89ef33e158bba857600fdd,,,,Parramatta,Sydney NSW,,29/07/2024,,,,
Mid-Level Network Engineering Consultant,Sovereign Cloud Australia Pty Ltd,Come and join the team!,https://www.seek.com.au/job/77603096?type=standard&ref=search-standalone&origin=cardTitle#sol=0dfee1e8d65968fb7a2552dbafa37750588c8e1c,,,,Parramatta,Sydney NSW,,29/07/2024,,,,
Project Master (Australia WFH),Prvidr,We're a dynamic team looking for an experienced PM to join us as we revolutionise how businesses manage subscriptions & customer interactions!,https://www.seek.com.au/job/77602169?type=standout&ref=search-standalone&origin=cardTitle#sol=22a8037b9cd89f10dc2a8ab3555045bd974a6ebe,,,,Parramatta,Sydney NSW,,29/07/2024,,,,
Project Support Officer,Vectiq Pty Ltd,Exclusive Project Support Officer role based within the Federal Government space in Canberra,https://www.seek.com.au/job/77603567?type=standout&ref=search-standalone&origin=cardTitle#sol=580abc6fa2d407c5732f25bddcb030e48a803c00,,Sumedha.bohra@vectiq.com.au,,Parramatta,Sydney NSW,,29/07/2024,29/07/2024,,,
Principal Software Engineer Manager,Microsoft,Collaborate with various teams to deliver results that exceed our customers?�? expectations and accelerate your career growth.,https://www.seek.com.au/job/77590345?type=standout&ref=search-standalone&origin=cardTitle#sol=242503d03fb51d5041023a0ff7cb2fc1ca76b1ea,,,,Parramatta,Sydney NSW,,29/07/2024,,,,
Business Analyst,healthAbility,"If you want flexibility, a great culture, inspiring teams and a supportive working environment read on!",https://www.seek.com.au/job/77602969?type=standout&ref=search-standalone&origin=cardTitle#sol=4a29197bf393e3d961cea02ff18eed02e88ac4ed,,michael.lobianco@healthability.org.au,,Parramatta,Sydney NSW,,29/07/2024,29/07/2024,,,
Security Engineer,Launch Recruitment Pty Ltd,Security Engineer required for a 12 months contract working with a well known federal department.,https://www.seek.com.au/job/77606470?type=standout&ref=search-standalone&origin=cardTitle#sol=a6827af2bb956cd2fa0055d3e3c40bffaf15d3da,,sgarrison@launchrecruitment.com.au,,Parramatta,Sydney NSW,,29/07/2024,29/07/2024,,,
Platform Product Owner,Suncorp,Have you got a passion for Customer Data? This is a great opportunity to showcase your Platform Product Owner skills in a high performing team!,https://www.seek.com.au/job/77591382?type=standout&ref=search-standalone&origin=cardTitle#sol=5fe3458a5de1e0dcf09ab1bb37e35fb2d8c7b33b,,,,Parramatta,Sydney NSW,,29/07/2024,,,,
Platform Product Owner,Suncorp,Have you got a passion for Customer Data? This is a great opportunity to showcase your Platform Product Owner skills in a high performing team!,https://www.seek.com.au/job/77591381?type=standout&ref=search-standalone&origin=cardTitle#sol=d3b4d3c5bdeb897d6b6f1ac689b919345031b8c2,,,,Parramatta,Sydney NSW,,29/07/2024,,,,
Disaster Recovery and BCM Specialist - Enterprise Resilience,Bluefin Resources Pty Limited,"Experienced DR and BCM specialist to join a global company at their Sydney Head Office. Large enterprise environment, newly created position.",https://www.seek.com.au/job/77600553?type=standard&ref=search-standalone&origin=cardTitle#sol=f96396a0f24138f74e28439dea4a888c9f943223,,,,Parramatta,Sydney NSW,,29/07/2024,,,,
Software Engineer,Fletcher Building Australia,Ready to make your mark with a leading brand? Want to work on a project that will enhance our industry-leading software? We?�?d love to hear from you!,https://www.seek.com.au/job/77591077?type=standout&ref=search-standalone&origin=cardTitle#sol=b874aa00078a6dfee45738b7ebb3a08c5cd9a9ad,,humanresources@stramit.com.au,,Parramatta,Sydney NSW,,29/07/2024,29/07/2024,,,
Business Analyst,AusNet Services,Great opportunity to be involved in the innovative Technology enablers for the Energy transition and drive meaningful change in the Digital landscape.,https://www.seek.com.au/job/77597590?type=standout&ref=search-standalone&origin=cardTitle#sol=780f7204692e5a9ace25e497408a546b7ab78781,,,,Parramatta,Sydney NSW,,29/07/2024,,,,
Senior/Lead Architect,Randstad Digital,"Seeking an experienced Lead Architect in the architecture, design, planning and implementation of a wide variety of information technology projects.",https://www.seek.com.au/job/77602932?type=standard&ref=search-standalone&origin=cardTitle#sol=ad6c0303b109ce32fb45d8cd1501a68349bfb57c,,,0425763872,Parramatta,Sydney NSW,,29/07/2024,,,,
Software Developer ?�? Microsoft expertise,Acworth Recruitment,This is a Permanent role with 100% work from home while supporting a successful Brisbane based business ?�? Work Life Balance !!!,https://www.seek.com.au/job/77611850?type=standout&ref=search-standalone&origin=cardTitle#sol=7d75860a2b0129fcf8e6517e29aeb816e1d16019,,,,Parramatta,Sydney NSW,,29/07/2024,,,,
Senior Business Analyst (Requires monthly travel to Queensland),Mars Recruitment,6 month day rate Senior BA - Azure / Databricks / Data Factory- Requires monthly travel to Queensland,https://www.seek.com.au/job/77654474?type=standout&ref=search-standalone&origin=cardTitle#sol=716b4afdb36ba7219f09d27fb3abce2b0ad952c3,,,,Parramatta,Sydney NSW,,29/07/2024,,,,
IT Operations Team Leader,Many Rivers Microfinance Ltd,The primary purpose of this role is to ensure business continuity through reliable infrastructure and a customer service orientated support team.,https://www.seek.com.au/job/77704355?type=promoted&ref=search-standalone&origin=cardTitle#sol=ee029f6d433baf5a99659da3466b68553b6f443f,,,,Sydney NSW,Osborne Park,"$ 140,000 - $ 150,000 Base + Super",30/07/2024,,,,
Account Manager,Inspired IT,"Join Inspired IT and our Account Management Team, as our next Account Manager!",https://www.seek.com.au/job/77703782?type=promoted&ref=search-standalone&origin=cardTitle#sol=cbecc9fe243382a815e01651b255ebd0be9497e6,,,,Sydney NSW,Osborne Park,"$173,328 to $190,558 per annum + superannuation",30/07/2024,,,,
IT Manager,The Hassett Group,Exciting opportunity to join a leading food manufacturing business.,https://www.seek.com.au/job/77704453?type=standout&ref=search-standalone&origin=cardTitle#sol=0a33379fa0c8411fe03e47a2a8620cf311ef56e4,,,,Sydney NSW,Osborne Park,$80k (HS3) plus Super and Salary Packaging,30/07/2024,,,,
IT Business Systems Administrator,Cardinia Shire Council,"Utilise your IT expertise to manage and upgrade core business systems, making a significant impact on our organisation.",https://www.seek.com.au/job/77702205?type=standard&ref=search-standalone&origin=cardTitle#sol=6ed4604375d677f3d57efed4917acad798d25883,,,,Sydney NSW,Osborne Park,"$90,000 - $100,000",30/07/2024,,,,
IT Support,JOTUN AUSTRALIA PTY LTD,We are now inviting applications from interested candidates to join our Melbourne team in the role of IT Support.,https://www.seek.com.au/job/77705798?type=standout&ref=search-standalone&origin=cardTitle#sol=5b329e8a37a93bfa0c665bd4813ca85dbf7e66f1,,,,Sydney NSW,Osborne Park,,30/07/2024,,,,
IT Service Operations Manager,Victoria Racing Club,Victoria Racing Club are seeking to recruit an IT Service Operations Manager to join the Club.,https://www.seek.com.au/job/77665581?type=standout&ref=search-standalone&origin=cardTitle#sol=59c73ca81e6f217c827bb399e516d4b15a6bae99,,,,Sydney NSW,Osborne Park,,30/07/2024,,,,
IT Operations Team Leader,Many Rivers Microfinance Ltd,The primary purpose of this role is to ensure business continuity through reliable infrastructure and a customer service orientated support team.,https://www.seek.com.au/job/77704355?type=standout&ref=search-standalone&origin=cardTitle#sol=c52a2adf9e81023703d6298ea55fbcab8f171a66,,,,Sydney NSW,Osborne Park,,30/07/2024,,,,
IT Coordinator,JBS Australia Pty Limited,"To be successful in this role, you must have a strong knowledge of PC?�?s + Windows Systems and a technical background in computing &/or electronics.",https://www.seek.com.au/job/77703794?type=standout&ref=search-standalone&origin=cardTitle#sol=429b45c6eb2bc714ccf5d08fd5b812c1592d9bd6,,,,Sydney NSW,Osborne Park,,30/07/2024,,,,
ICT Infrastructure Technician,Albury Wodonga Health,"Join a dynamic work environment whilst providing onsite, and remote day to day ICT technical support for all staff within AWH",https://www.seek.com.au/job/77669525?type=standout&ref=search-standalone&origin=cardTitle#sol=054ad0f3f481d20e9a80037c5f2729e2e3de8a29,,Avi.Arditi@awh.org.au,,Sydney NSW,Osborne Park,,30/07/2024,30/07/2024,,,
ICT (Systems and Network) Administrator,Central Australian Aboriginal Congress,Working with Central Australian Aboriginal Congress not only offers rewarding career options but a wide range of employee benefits includingAbout the,https://www.seek.com.au/job/77665469?type=standout&ref=search-standalone&origin=cardTitle#sol=14476efa094ff9fa93ce3ae6cea583d48ae205f0,,craig.emmott@caac.org.au,,Sydney NSW,Osborne Park,,30/07/2024,30/07/2024,,,
ICT Support Administrator,Goodstart Early Learning,"Ensure seamless operations by troubleshooting applications, identifying solutions, and providing specs for implementation",https://www.seek.com.au/job/77699837?type=standout&ref=search-standalone&origin=cardTitle#sol=109c8248c89033819bc5b29d47bf6b86cdb8b8be,,deadlycareers@goodstart.org.au,,Sydney NSW,Osborne Park,,30/07/2024,30/07/2024,,,
Chief Information Officer (357020),Department of Justice,"Join us and be the change-maker in a role where technology meets justice, driving progress and performance in the heart of the public sector.",https://www.seek.com.au/job/77669314?type=standout&ref=search-standalone&origin=cardTitle#sol=4f7d39be4c7937c612f4740c15955593e8aaffed,,david.byrne@justice.tas.gov.au,,Sydney NSW,Osborne Park,,30/07/2024,30/07/2024,,,
Service Desk Analyst,Forensicare,"Exciting growth with investment in our facilities. Working as part of a team, this role will be responsible for L1 and L2 IT service desk incidents.",https://www.seek.com.au/job/77666722?type=standout&ref=search-standalone&origin=cardTitle#sol=c71c6ec7cf392039405d0976200bf34ceb687acb,,,,Sydney NSW,Osborne Park,,30/07/2024,,,,
Telecommunications Network and Systems Specialist (ICT),Retail Prodigy Group,Opportunity to join our team as a Telecommunications Network & Systems Specialist you will work in partnership with our global Retail partners!,https://www.seek.com.au/job/77673314?type=standard&ref=search-standalone&origin=cardTitle#sol=e5d8e2be2cb54513723651d41f27d99638dde148,,,,Sydney NSW,Osborne Park,,30/07/2024,,,,
Applications Manager,ZircoDATA,We are seeking an Applications Manager to oversee and coordinate application support and system administration activities.,https://www.seek.com.au/job/77704769?type=standout&ref=search-standalone&origin=cardTitle#sol=ce269dfd6d88a2ee4a8f3f9f34b3c1414d3fc468,,,,Sydney NSW,Osborne Park,,30/07/2024,,,,
Junior Digital Workplace Engineer,Interactive,Support end users with endpoint management and day to day support in operational activities and projects.,https://www.seek.com.au/job/77703514?type=standout&ref=search-standalone&origin=cardTitle#sol=4320913393be1947689358dea6aec0e5dcd2d50f,,,,Sydney NSW,Osborne Park,,30/07/2024,,,,
Junior Digital Workplace Engineer,Interactive,Support end users with endpoint management and day to day support in operational activities and projects.,https://www.seek.com.au/job/77701138?type=standout&ref=search-standalone&origin=cardTitle#sol=f29ecf6500c13b18cf253352b948612254f74510,,,,Sydney NSW,Osborne Park,,30/07/2024,,,,
"Client Support Analyst, Business Team.",Health-e Workforce Solutions,Join our Business Team as a Client Support Analyst and contribute to transforming healthcare workforce management across Australia and New Zealand.,https://www.seek.com.au/job/77704044?type=standard&ref=search-standalone&origin=cardTitle#sol=a7ef45abd5da9e256118b5c25f49c090f07b158c,,,,Sydney NSW,Osborne Park,,30/07/2024,,,,
Principal Technology Architect,Perth Airport Pty Ltd,"Reporting to the General Manager Information Systems, you will have the opportunity to lead the IT roadmap across the entire organisation.",https://www.seek.com.au/job/77706009?type=standout&ref=search-standalone&origin=cardTitle#sol=db6258bfee9cfa22b2d61749724689ce468fb6bb,,,,Sydney NSW,Osborne Park,,30/07/2024,,,,
IT Systems Engineer,EOS Group,EOS group is currently searching for IT System Administrator?�?s to join our team.,https://www.seek.com.au/job/77667354?type=standout&ref=search-standalone&origin=cardTitle#sol=d9299881da81f2bc17ccdd2832cc5ff08356b42a,,,,Sydney NSW,Osborne Park,,30/07/2024,,,,
Junior Digital Workplace Engineer,Interactive,Support end users with endpoint management and day to day support in operational activities and projects.,https://www.seek.com.au/job/77701138?type=standout&ref=search-standalone&origin=cardTitle#sol=9150fa74e8f23977ced42c9356c444fdf54b8f61,,,,Melbourne VIC,Brisbane QLD,"$96,584 to $101,313",30/07/2024,,,,
Junior Digital Workplace Engineer,Interactive,Support end users with endpoint management and day to day support in operational activities and projects.,https://www.seek.com.au/job/77703514?type=standout&ref=search-standalone&origin=cardTitle#sol=b0631b5555051bb6501f2c55348a0b1401ad0e18,,,,Melbourne VIC,Brisbane QLD,"We embrace diversity, inclusion and belonging",30/07/2024,,,,
Technology Support Specialist,Lion,Provide proactive service delivery to the business as well as driving continuous improvement,https://www.seek.com.au/job/77679403?type=standout&ref=search-standalone&origin=cardTitle#sol=66474ea7a2d6041f6f522b1d3948af1e2a98d417,,inclusionanddiversity@lionco.com,,Melbourne VIC,Brisbane QLD,Up to $756.56 p.d. incl super,30/07/2024,30/07/2024,,,
